#fusion_name	JunctionReads	SpanningFrags	LeftGene	LeftBreakpoint	LeftDistFromRefExonSplice	RightGene	RightBreakpoint		RightDistFromRefExonSplice
OAZ1--ZBTB7A	2	0	OAZ1^ENSG00000104904.8	chr19:2269743:+	0	ZBTB7A^ENSG00000178951.4	chr19:4055245:-		0
KRAS--UBE2W	2	0	KRAS^ENSG00000133703.7	chr12:25398208:-	0	UBE2W^ENSG00000104343.15	chr8:74742707:-		0
EIF4A1--NFATC1	2	0	EIF4A1^ENSG00000161960.10	chr17:7476182:+	0	NFATC1^ENSG00000131196.13	chr18:77208782:+		0
CSF3R--KIAA0513	2	0	CSF3R^ENSG00000119535.13	chr1:36933423:-	0	KIAA0513^ENSG00000135709.8	chr16:85109450:+		0
HNRNPH1--WAC	2	0	HNRNPH1^ENSG00000169045.13	chr5:179050596:-	0	WAC^ENSG00000095787.17	chr10:28822927:+		0
COL4A3BP--G3BP1	2	0	COL4A3BP^ENSG00000113163.11	chr5:74706836:-	0	G3BP1^ENSG00000145907.10	chr5:151170450:+		0
NCOR2--PTMA	2	0	NCOR2^ENSG00000196498.9	chr12:125051854:-	0	PTMA^ENSG00000187514.10	chr2:232576058:+		0
TMEM18--C12orf57	2	0	TMEM18^ENSG00000151353.10	chr2:677289:-	0	C12orf57^ENSG00000111678.6	chr12:7054934:+		0
MOB3A--KDM4B	2	0	MOB3A^ENSG00000172081.9	chr19:2085174:-	0	KDM4B^ENSG00000127663.10	chr19:5016268:+		0
ANP32A--NIN	2	0	ANP32A^ENSG00000140350.11	chr15:69113037:-	0	NIN^ENSG00000100503.19	chr14:51273536:-		0
NAB1--NUP153	2	0	NAB1^ENSG00000138386.12	chr2:191524721:+	0	NUP153^ENSG00000124789.7	chr6:17649531:-		0
ARID5B--LCOR	2	0	ARID5B^ENSG00000150347.10	chr10:63700167:+	0	LCOR^ENSG00000196233.7	chr10:98667022:+		0
B3GNT5--KLHL24	2	0	B3GNT5^ENSG00000176597.7	chr3:182971260:+	0	KLHL24^ENSG00000114796.11	chr3:183361268:+		0
NUP62--GATAD2A	2	0	NUP62^ENSG00000213024.6	chr19:50430951:-	0	GATAD2A^ENSG00000167491.13	chr19:19576154:+		0
LRCH4--ACAP3	2	0	LRCH4^ENSG00000077454.11	chr7:100173328:-	0	ACAP3^ENSG00000131584.14	chr1:1239523:-		0
NCOA2--ARID4B	2	0	NCOA2^ENSG00000140396.8	chr8:71315935:-	0	ARID4B^ENSG00000054267.16	chr1:235490283:-		0
IRF2--MYADM	2	0	IRF2^ENSG00000168310.6	chr4:185395533:-	0	MYADM^ENSG00000179820.11	chr19:54373008:+		0
PLXNB2--SCO2	2	0	PLXNB2^ENSG00000196576.10	chr22:50745982:-	0	SCO2^ENSG00000130489.8	chr22:50962853:-		0
RCC1--RNF111	2	0	RCC1^ENSG00000180198.11	chr1:28834672:+	0	RNF111^ENSG00000157450.11	chr15:59323003:+		0
MATR3--EWSR1	2	0	MATR3^ENSG00000015479.13	chr5:138629461:+	0	EWSR1^ENSG00000182944.13	chr22:29687551:+		0
CXCR4--IVNS1ABP	2	0	CXCR4^ENSG00000121966.6	chr2:136875616:-	0	IVNS1ABP^ENSG00000116679.11	chr1:185280454:-		0
FNBP1--AXIN1	2	0	FNBP1^ENSG00000187239.12	chr9:132805231:-	0	AXIN1^ENSG00000103126.10	chr16:397106:-		0
CXCR4--DDX5	2	0	CXCR4^ENSG00000121966.6	chr2:136875616:-	0	DDX5^ENSG00000108654.7	chr17:62500960:-		0
LRCH1--SLITRK5	2	0	LRCH1^ENSG00000136141.10	chr13:47127838:+	0	SLITRK5^ENSG00000165300.6	chr13:88327636:+		0
ACAP3--SCO2	2	0	ACAP3^ENSG00000131584.14	chr1:1243149:-	0	SCO2^ENSG00000130489.8	chr22:50962853:-		0
ZEB1--CCAR1	2	0	ZEB1^ENSG00000148516.17	chr10:31608221:+	0	CCAR1^ENSG00000060339.9	chr10:70482212:+		0
JHDM1D--CPSF6	2	0	JHDM1D^ENSG00000006459.6	chr7:139876544:-	0	CPSF6^ENSG00000111605.12	chr12:69644909:+		0
ZNF787--LPAR2	2	0	ZNF787^ENSG00000142409.4	chr19:56614508:-	0	LPAR2^ENSG00000064547.9	chr19:19738093:-		0
S100A8--IVNS1ABP	2	0	S100A8^ENSG00000143546.5	chr1:153362871:-	0	IVNS1ABP^ENSG00000116679.11	chr1:185280454:-		0
PDZD2--HIPK3	2	0	PDZD2^ENSG00000133401.11	chr5:32061240:+	0	HIPK3^ENSG00000110422.7	chr11:33307959:+		0
UVSSA--MAEA	2	0	UVSSA^ENSG00000163945.11	chr4:1349033:+	0	MAEA^ENSG00000090316.11	chr4:1332862:+		0
FLJ27365--BCL2L11	2	0	FLJ27365^ENSG00000197182.8	chr22:46449800:+	0	BCL2L11^ENSG00000153094.17	chr2:111881310:+		0
GLT1D1--USP15	2	0	GLT1D1^ENSG00000151948.7	chr12:129432003:+	0	USP15^ENSG00000135655.9	chr12:62687960:+		0
GFOD1--PDZD8	2	0	GFOD1^ENSG00000145990.6	chr6:13486870:-	0	PDZD8^ENSG00000165650.7	chr10:119049859:-		0
AP2A2--LSP1	2	0	AP2A2^ENSG00000183020.9	chr11:1009817:+	0	LSP1^ENSG00000130592.9	chr11:1901317:+		0
RPGR--BACH1	2	0	RPGR^ENSG00000156313.8	chrX:38186593:-	0	BACH1^ENSG00000156273.11	chr21:30693542:+		0
SYK--PML	1	3	SYK^ENSG00000165025.10	chr9:93629481:+	0	PML^ENSG00000140464.15	chr15:74325497:+		0
AKR1C1--AKR1E2	1	1	AKR1C1^ENSG00000187134.8	chr10:4975522:+	0	AKR1E2^ENSG00000165568.13	chr10:4884613:+		0
